Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
"A-Harald, King of Skemfar",Elf Warrior,3.0,"B, G","Menace (This creature can't be blocked except by two or more creatures.)When Harald, King of Skemfar enters, look at the top seven cards of your library. You may reveal an Elf, Warrior, or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Menace,3,2
"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Cat Warrior // Legendary Planeswalker,2.0,"R, W",Missing Oracle Text,Transform,0,0
"Akal Pakal, First Among Equals",Human Advisor,3.0,U,"At the beginning of each player's end step, if an artifact entered the battlefield under your control this turn, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",,1,5
"Akroma, Angel of Fury",Angel,8.0,R,"This spell can't be countered.Flying, trample, protection from white and from blue{R}: Akroma gets +1/+0 until end of turn.Morph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","Flying, Morph, Protection, Trample",6,6
"Akroma, Angel of Wrath",Angel,8.0,W,"Flying, first strike, vigilance, trample, haste, protection from black and from red","Flying, Vigilance, First strike, Protection, Haste, Trample",6,6
A-Krydle of Baldur's Gate,Human Elf Rogue,2.0,"B, U","Whenever Krydle of Baldur's Gate deals combat damage to a player, that player loses 1 life and mills a card, then you gain 1 life and scry 1.Whenever you attack, target creature can't be blocked this turn.","Mill, Scry",1,3
"Akuta, Born of Ash",Spirit,4.0,B,"HasteAt the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta from your graveyard to the battlefield.",Haste,3,2
"Albiorix, Goose Tyrant // Wild Goose Chase",Bird // Instant,3.0,"G, U",Missing Oracle Text,"Flying, Food, Trample, Ward",3,3
"Alena, Kessig Trapper",Human Scout,5.0,R,First strike{T}: Add an amount of {R} equal to the greatest power among creatures you control that entered this turn.Partner (You can have two commanders if both have partner.),"First strike, Partner",4,3
Alexander Clamilton,Clamfolk Advisor Rebel,3.0,"R, U","Whenever you cast a wordy spell, scry 2. (A spell is wordy if it has four or more lines of rules text.){1}{R}, {T}: Choose target creature you don't control. Reveal the top card of your library. Alexander Clamilton gets +X/+0 until end of turn, where X is the number of lines of rules text of the revealed card. Alexander Clamilton fights that creature.","Fight, Scry",0,4
"Alexi, Zephyr Mage",Human Spellshaper,5.0,U,"{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.",,3,3
"Alharu, Solemn Ritualist",Human Monk,5.0,W,"When Alharu enters, put a +1/+1 counter on each of up to two other target creatures.Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying.Partner (You can have two commanders if both have partner.)",Partner,3,3
"A-Lier, Disciple of the Drowned",Human Wizard,5.0,U,"Spells can't be countered.As long as it's your turn, each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost.",,3,4
"Alora, Merry Thief",Halfling Rogue,3.0,U,"Whenever you attack, up to one target attacking creature can't be blocked this turn. Return that creature to its owner's hand at the beginning of the next end step.Choose a Background (You can have a Background as a second commander.)",Choose a background,3,2
"Alora, Rogue Companion",Halfling Rogue,4.0,U,"Specialize {2}Whenever you attack, up to one target attacking creature can't be blocked this turn. At the beginning of the next end step, return that creature to its owner's hand.",Specialize,3,3
"Alrund, God of the Cosmos // Hakka, Whispering Raven",God // Legendary Creature,5.0,U,Missing Oracle Text,"Scry, Flying",0,0
"Altanak, the Thrice-Called",Insect Beast,7.0,G,"TrampleWhenever Altanak becomes the target of a spell or ability an opponent controls, draw a card.{1}{G}, Discard this card: Return target land card from your graveyard to the battlefield tapped.",Trample,9,9
Ambassador Laquatus,Merfolk Wizard,3.0,U,{3}: Target player mills three cards.,Mill,1,3
"Ambergris, Citadel Agent",Dwarf Cleric,3.0,R,"HasteSpecialize {3}Whenever Ambergris, Citadel Agent attacks, you may discard your hand and draw two cards.","Haste, Specialize",3,2
Amber Gristle O'Maul,Dwarf Cleric,4.0,R,"HasteWhenever Amber Gristle O'Maul attacks, you may discard your hand. If you do, draw a card for each player being attacked.Choose a Background (You can have a Background as a second commander.)","Choose a background, Haste",3,3
"A-Mishra, Excavation Prodigy",Human Artificer,2.0,R,"{1}, {T}, Discard a card: Draw a card.Whenever you discard one or more artifact cards, add {R}{R}. This ability triggers only once each turn.",,2,1
"A-Mr. Orfeo, the Boulder",Rhino Warrior,4.0,"B, G, R","Whenever you attack, double target creature's power until end of turn.",,3,4
Amy Pond,Human,3.0,R,"Partner with Rory Williams (When this creature enters, target player may put Rory into their hand from their library, then shuffle.)Whenever Amy Pond deals combat damage to a player, choose a suspended card you own and remove that many time counters from it.Doctor's companion (You can have two commanders if the other is the Doctor.)","Partner with, Partner, Doctor's companion",2,2
"A-Nadu, Winged Wisdom",Bird Wizard,3.0,"G, U","FlyingWhenever a creature you control becomes the target of a spell or ability, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand. This ability triggers only twice each turn.",Flying,3,4
"A-Nael, Avizoa Aeronaut",Elf Scout,2.0,"G, U","FlyingDomain — Whenever Nael, Avizoa Aeronaut deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card.","Flying, Domain",2,2
"Anafenza, Unyielding Lineage",Spirit Soldier,3.0,W,"FlashFirst strikeWhenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)","First strike, Flash",2,2
"A-Narfi, Betrayer King",Zombie Wizard,4.0,"B, U","Other snow and Zombie creatures you control get +1/+1.{S}{S}{S}: Return Narfi, Betrayer King from your graveyard to the battlefield tapped. ({S} can be paid with one mana from a snow source.)",,4,3
"A-Nashi, Moon Sage's Scion",Rat Ninja,3.0,B,"Ninjutsu {2}{B} ({2}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)Whenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost.",Ninjutsu,3,2
"Anep, Vizier of Hazoret",Jackal Warrior,3.0,R,"TrampleYou may exert Anep as it attacks. When you do, exile the top two cards of your library. Until the end of your next turn, you may play those cards. (An exerted creature won't untap during your next untap step.)","Trample, Exert",4,2
Angelic Harold,Angel Performer,3.0,"U, W","FlyingWhen Angelic Harold enters, you may put a name sticker on a nonland permanent you own.Each creature you control with three or more words in its name gets +1/+1.",Flying,2,2
"Anya, Merciless Angel",Angel,5.0,"R, W","FlyingAnya gets +3/+3 for each opponent whose life total is less than half their starting life total.As long as an opponent's life total is less than half their starting life total, Anya has indestructible.",Flying,4,4
"A-Omnath, Locus of Creation",Elemental,5.0,"G, R, U, W","When Omnath, Locus of Creation enters, draw a card.Landfall — Whenever a land enters under your control, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control.",Landfall,4,4
"Aphemia, the Cacophony",Harpy,2.0,B,"FlyingAt the beginning of your end step, you may exile an enchantment card from your graveyard. If you do, create a 2/2 black Zombie creature token.",Flying,2,1
"A-Phylath, World Sculptor",Elemental,6.0,"G, R","TrampleWhen Phylath, World Sculptor enters, create a 0/1 green Plant creature token for each basic land you control.Landfall — Whenever a land enters under your control, put four +1/+1 counters on target Plant you control. It gains trample until end of turn.","Trample, Landfall",5,5
"A-Queza, Augur of Agonies",Octopus Advisor,4.0,"B, U, W","VigilanceWhenever you draw a card, target opponent loses 1 life and you gain 1 life.",Vigilance,3,4
"Aradesh, the Founder",Human Soldier,3.0,W,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)Whenever a creature you control attacks, if it enlisted a creature this combat, the creature that attacked gains double strike until end of turn. If that creature's power is 4 or greater, draw a card.",Enlist,1,4
"A-Radha, Coalition Warlord",Elf Warrior,3.0,"G, R","Domain — Whenever Radha, Coalition Warlord enters or becomes tapped, another target creature you control gets +X/+X until end of turn, where X is the number of basic land types among lands you control.",Domain,3,3
"Aragorn and Arwen, Wed",Human Elf Noble,6.0,"G, W","VigilanceWhenever Aragorn and Arwen enters or attacks, put a +1/+1 counter on each other creature you control. You gain 1 life for each other creature you control.",Vigilance,3,6
"A-Raiyuu, Storm's Edge",Human Samurai,4.0,"R, W","First strikeWhenever a Samurai or Warrior you control attacks alone, untap it. If it's the first combat phase of the turn, there is an additional combat phase after this phase.",First strike,4,4
"Arashi, the Sky Asunder",Spirit,5.0,G,"{X}{G}, {T}: Arashi deals X damage to target creature with flying.Channel — {X}{G}{G}, Discard this card: It deals X damage to each creature with flying.",Channel,5,5
Arcade Gannon,Human Doctor,4.0,"U, W","{T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon.For Auld Lang Syne — Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.",For Auld Lang Syne,2,3
Arcades Sabboth,Elder Dragon,8.0,"G, U, W","FlyingAt the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.Each untapped creature you control gets +0/+2 as long as it's not attacking.{W}: Arcades Sabboth gets +0/+1 until end of turn.",Flying,7,7
"Arcee, Sharpshooter // Arcee, Acrobatic Coupe",Robot // Legendary Artifact,3.0,"R, W",Missing Oracle Text,"Living metal, First strike, Convert, More Than Meets the Eye",0,0
"Archangel Avacyn // Avacyn, the Purifier",Angel // Legendary Creature,5.0,"R, W",Missing Oracle Text,"Flying, Vigilance, Transform, Flash",0,0
"Ardoz, Cobbler of War",Goblin Shaman,2.0,R,"HasteWhenever Ardoz or another creature you control enters, that creature gets +2/+0 until end of turn.{3}{R}: Create a 1/1 red Goblin creature token with haste. Activate only as a sorcery.",Haste,1,1
"Arek, False Goldwarden",Human Cleric,2.0,"B, W","Starting intensity 0Whenever another creature enters under your control, cards you own named Arek, False Goldwarden intensify by 1.{3}{W}{B}, {T}, Sacrifice Arek, False Goldwarden: Target opponent loses X life and you gain X life, where X is Arek's intensity.",Intensity,2,2
"Arius, Flyby Trawler",Shark Pirate,2.0,"R, U","Flying, TrampleWhenever Arius attacks, seek a non-Shark card. Discard that card at the beginning of the next end step.Whenever you discard one or more cards, put a +1/+1 counter on Arius.","Flying, Seek, Trample",1,1
"Armix, Filigree Thrasher",Golem,3.0,B,"Whenever Armix attacks, you may discard a card. When you do, target creature defending player controls gets -X/-X until end of turn, where X is the number of artifacts you control plus the number of artifact cards in your graveyard.Partner (You can have two commanders if both have partner.)",Partner,3,2
Arni Metalbrow,Human Berserker,3.0,R,"Whenever a creature you control attacks or a creature you control enters attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking.",,3,3
"Aron, Benalia's Ruin",Phyrexian Human,3.0,"B, W","Menace (This creature can't be blocked except by two or more creatures.){W}{B}, {T}, Sacrifice another creature: Put a +1/+1 counter on each creature you control.",Menace,3,3
"A-Rulik Mons, Warren Chief",Goblin,4.0,"G, R","Menace (This creature can't be blocked except by two or more creatures.)Whenever Rulik Mons, Warren Chief enters or attacks, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped. If you didn't put a card onto the battlefield this way, create a 1/1 red Goblin creature token.",Menace,4,4
Arvad the Cursed,Vampire Knight,5.0,"B, W","Deathtouch, lifelinkOther legendary creatures you control get +2/+2.","Lifelink, Deathtouch",3,3
"Arvad, Weatherlight Smuggler",Vampire Knight,2.0,"B, W","Deathtouch, lifelinkAt the beginning of your end step, if a creature died this turn, Arvad, Weatherlight Smuggler perpetually gets +X/+X where X is the number of creatures that died this turn. This ability also triggers if Arvad is in your graveyard.","Lifelink, Deathtouch",1,1
"Arwen, Weaver of Hope",Elf Noble,3.0,G,Each other creature you control enters with a number of additional +1/+1 counters on it equal to Arwen's toughness.,,2,1
A-Satoru Umezawa,Human Ninja,3.0,"B, U","Whenever you activate a ninjutsu ability, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. This ability triggers only once each turn.Each creature card in your hand has ninjutsu {1}{U}{B}.",,3,4
"A-Shessra, Death's Whisper",Human Elf Warlock,3.0,"B, G","Bewitching Whispers — When Shessra, Death's Whisper enters, target creature blocks this turn if able.Whispers of the Grave — At the beginning of your end step, if a creature died this turn, you may pay 2 life. If you do, draw a card.",,1,4
"Ashling, the Extinguisher",Elemental Shaman,4.0,B,"Whenever Ashling deals combat damage to a player, choose target creature that player controls. The player sacrifices that creature.",,4,4
"Ash, Party Crasher",Human Peasant,2.0,"R, W","HasteCelebration — Whenever Ash attacks, if two or more nonland permanents entered the battlefield under your control this turn, put a +1/+1 counter on Ash.","Celebration, Haste",2,2
"Asmira, Holy Avenger",Human Cleric,4.0,"G, W","FlyingAt the beginning of each end step, put a +1/+1 counter on Asmira for each creature put into your graveyard from the battlefield this turn.",Flying,2,3
Asmodeus the Archfiend,Devil God,6.0,B,"Binding Contract — If you would draw a card, exile the top card of your library face down instead.{B}{B}{B}: Draw seven cards.{B}: Return all cards exiled with Asmodeus to their owner's hand and you lose that much life.",,6,6
A-Soul of Windgrace,Cat Avatar,4.0,"B, G, R","Whenever Soul of Windgrace enters or attacks, you may put a land card from a graveyard onto the battlefield tapped under your control.{G}, Discard a land card: You gain 3 life.{R}, Discard a land card: Draw a card.{B}, Discard a land card: Soul of Windgrace gains indestructible until end of turn. Tap it.",,5,4
Astrid Peth,Human,2.0,W,"Whenever Astrid Peth enters or attacks, create a Food token.Brand-new Sky — Whenever you sacrifice a Clue or Food, Astrid Peth explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)","Brand-new Sky, Food, Explore",2,2
A-Tanazir Quandrix,Elder Dragon,5.0,"G, U","Flying, trampleWhen Tanazir Quandrix enters, double the number of +1/+1 counters on target creature you control.Whenever Tanazir Quandrix attacks, you may have the base power and toughness of other creatures you control become equal to Tanazir Quandrix's power and toughness until end of turn.","Flying, Trample",5,5
"A-Tatyova, Steward of Tides",Merfolk Druid,3.0,"G, U","Land creatures you control have flying.Whenever a land enters under your control, if you control seven or more lands, up to one target land you control becomes a 4/4 Elemental creature with haste. It's still a land.",,4,4
"Athreos, Shroud-Veiled",God,6.0,"B, W","IndestructibleAs long as your devotion to white and black is less than seven, Athreos isn't a creature.At the beginning of your end step, put a coin counter on another target creature.Whenever a creature with a coin counter on it dies or is put into exile, return that card to the battlefield under your control.",Indestructible,4,7
"A-Urza, Powerstone Prodigy",Human Artificer,2.0,U,"{1}, {T}: Draw a card, then discard a card.Whenever you discard one or more artifact cards, create a tapped Powerstone token. This ability triggers only once each turn. (The token is an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,1,3
Autumn Willow,Avatar,6.0,G,"Shroud (This creature can't be the target of spells or abilities.){G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.",Shroud,4,4
"A-Uurg, Spawn of Turg",Frog Beast,3.0,"B, G","A-Uurg, Spawn of Turg's power is equal to the number of land cards in your graveyard.At the beginning of your upkeep, surveil 2.{1}, Sacrifice a land: You gain 2 life.",Surveil,0,5
"Avacyn, Guardian Angel",Angel,5.0,W,"Flying, vigilance{1}{W}: Prevent all damage that would be dealt to another target creature this turn by sources of the color of your choice.{5}{W}{W}: Prevent all damage that would be dealt to target player or planeswalker this turn by sources of the color of your choice.","Flying, Vigilance",5,4
"A-Vega, the Watcher",Bird Spirit,3.0,"U, W","FlyingWard {2}Whenever you cast a spell from anywhere other than your hand, draw a card.","Flying, Ward",2,2
"A-Winota, Joiner of Forces",Human Warrior,4.0,"R, W","Whenever one or more non-Human creatures you control attack, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",,4,4
Axelrod Gunnarson,Giant,8.0,"B, R","TrampleWhenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod Gunnarson deals 1 damage to target player or planeswalker.",Trample,5,5
Aya of Alexandria,Human Assassin,4.0,"R, W","Menace, lifelinkWhenever a historic creature you control deals combat damage to a player, create a 1/1 black Assassin creature token with menace. (Artifacts, legendaries, and Sagas are historic.)","Lifelink, Menace",4,3
"Ayara, Widow of the Realm // Ayara, Furnace Queen",Elf Noble // Legendary Creature,3.0,"B, R",Missing Oracle Text,Transform,0,0
"A-Zar Ojanen, Scion of Efrava",Cat Warrior,5.0,"G, W","Domain — Whenever Zar Ojanen, Scion of Efrava enters or becomes tapped, put a +1/+1 counter on each creature you control with toughness less than the number of basic land types among lands you control.",Domain,4,4
"Baeloth Barrityl, Entertainer",Elf Shaman,5.0,R,"Creatures your opponents control with power less than Baeloth Barrityl's power are goaded. (They attack each combat if able and attack a player other than you if able.)Whenever a goaded attacking or blocking creature dies, you create a Treasure token.Choose a Background (You can have a Background as a second commander.)","Goad, Choose a background, Treasure",2,5
"Baird, Steward of Argive",Human Soldier,4.0,W,VigilanceCreatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.,Vigilance,2,4
Barbara Wright,Human Advisor,2.0,W,"History Teacher — Sagas you control have read ahead. (As a Saga enters, choose a chapter and start with that many lore counters. Skipped chapters don't trigger.)Doctor's companion (You can have two commanders if the other is the Doctor.)","History Teacher, Doctor's companion",1,3
Baron Bertram Graywater,Vampire Noble,4.0,"B, W","Whenever one or more tokens you control enter, create a 1/1 black Vampire Rogue creature token with lifelink. This ability triggers only once each turn.{1}{B}, Sacrifice another creature or artifact: Draw a card.",,3,4
Baron Sengir,Vampire Noble,8.0,B,"FlyingWhenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.{T}: Regenerate another target Vampire.",Flying,5,5
Baron Von Count,Human Villain,3.0,"B, R","Baron Von Count enters with a doom counter on ""5.""Whenever you cast a spell with the indicated numeral in its mana cost, text box, power, or toughness, move the doom counter one numeral to the left.When the doom counter moves from ""1,"" destroy target player and put that doom counter on ""5.""",,3,3
"Baru, Fist of Krosa",Human Druid,5.0,G,"Whenever a Forest enters, green creatures you control get +1/+1 and gain trample until end of turn.Grandeur — Discard another card named Baru, Fist of Krosa: Create an X/X green Wurm creature token, where X is the number of lands you control.",Grandeur,4,4
"Basandra, Battle Seraph",Angel,5.0,"R, W",FlyingPlayers can't cast spells during combat.{R}: Target creature attacks this turn if able.,Flying,4,4
"Basri, Tomorrow's Champion",Human Knight,1.0,W,"{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.)Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)When you cycle this card, Cats you control gain hexproof and indestructible until end of turn.",Cycling,2,1
Bayek of Siwa,Human Assassin,5.0,"R, W","Double strikeDuring your turn, other historic creatures you control have double strike.Disguise {1}{R}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)","Disguise, Double strike",3,4
"Bell Borca, Spectral Sergeant",Spirit Soldier,4.0,"R, W","Note the mana value of each card as it's put into exile.Bell Borca's power is equal to the greatest number noted for it this turn.At the beginning of your upkeep, exile the top card of your library. You may play that card this turn.",,0,5
Beluna Grandsquall // Seek Thrills,Giant Noble // Instant,3.0,"G, R, U",Missing Oracle Text,"Trample, Mill",4,4
"Ben-Ben, Akki Hermit",Goblin Shaman,4.0,R,{T}: Ben-Ben deals damage to target attacking creature equal to the number of untapped Mountains you control.,,1,1
"Bennie Bracks, Zoologist",Elf Druid,4.0,W,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)At the beginning of each end step, if you created a token this turn, draw a card.",Convoke,3,2
Beregond of the Guard,Human Soldier,4.0,W,"Whenever Beregond or another Human you control enters, creatures you control get +1/+1 and gain vigilance until end of turn.",,3,3
Bill Potts,Human,4.0,R,"Whenever you cast an instant or sorcery spell that targets only Bill Potts or activate an ability that targets only Bill Potts, copy that spell or ability. You may choose new targets for the copy. This ability triggers only once each turn.Doctor's companion (You can have two commanders if the other is the Doctor.)",Doctor's companion,2,4
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",God // Legendary Artifact,3.0,R,Missing Oracle Text,,0,0
"Bjorna, Nightfall Alchemist",Human,2.0,"R, U","{T}, Sacrifice an artifact: Bjorna, Nightfall Alchemist deals 1 damage to target creature. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)Friends forever (You can have two commanders if both have friends forever.)","Goad, Friends forever",1,3
Bladewing the Risen,Zombie Dragon,7.0,"B, R","FlyingWhen Bladewing enters, you may return target Dragon permanent card from your graveyard to the battlefield.{B}{R}: Dragon creatures get +1/+1 until end of turn.",Flying,4,4
"Blaster, Combat DJ // Blaster, Morale Booster",Robot // Legendary Artifact,5.0,"G, R",Missing Oracle Text,"Modular, Convert, More Than Meets the Eye",0,0
"Blex, Vexing Pest // Search for Blex",Pest // Sorcery,3.0,"B, G",Missing Oracle Text,,0,0
"Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant",Robot // Legendary Artifact,6.0,B,Missing Oracle Text,"Living metal, Convert, More Than Meets the Eye",0,0
"Blue, Loyal Raptor",Dinosaur,4.0,"G, U","Partner with Owen Grady, Raptor Trainer (When this creature enters, target player may put Owen into their hand from their library, then shuffle.)For each kind of counter on Blue, Loyal Raptor, each other Dinosaur you control enters with a counter of that kind on it.","Partner with, Partner",5,4
Bontu the Glorified,God,3.0,B,"Menace, indestructibleBontu can't attack or block unless a creature died under your control this turn.{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.","Indestructible, Menace, Scry",4,6
Borborygmos and Fblthp,Cyclops Homunculus,5.0,"G, R, U","Whenever Borborygmos and Fblthp enters or attacks, draw a card, then you may discard any number of land cards. When you discard one or more cards this way, Borborygmos and Fblthp deals twice that much damage to target creature.{1}{U}: Put Borborygmos and Fblthp into its owner's library third from the top.",,6,5
Borborygmos Enraged,Cyclops,8.0,"G, R","TrampleWhenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.Discard a land card: Borborygmos Enraged deals 3 damage to any target.",Trample,7,6
Boris Devilboon,Zombie Wizard,5.0,"B, R","{2}{B}{R}, {T}: Create a 1/1 black and red Demon creature token named Minor Demon.",,2,2
"Boromir, Gondor's Hope",Human Warrior,4.0,"U, W","Whenever Boromir enters or attacks, look at the top six cards of your library. You may reveal a Human or artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,3,4
"Boromir, Warden of the Tower",Human Soldier,3.0,W,"VigilanceWhenever an opponent casts a spell, if no mana was spent to cast it, counter that spell.Sacrifice Boromir: Creatures you control gain indestructible until end of turn. The Ring tempts you.",Vigilance,3,3
Bortuk Bonerattle,Troll Shaman,6.0,"B, G","Domain — When Bortuk Bonerattle enters, if you cast it, choose target creature card in your graveyard. Return that card to the battlefield if its mana value is less than or equal to the number of basic land types among lands you control. Otherwise, put it into your hand.",Domain,4,4
"Brallin, Skyshark Rider",Human Shaman,4.0,R,"Partner with Shabraz, the Skyshark (When this creature enters, target player may put Shabraz into their hand from their library, then shuffle.)Whenever you discard a card, put a +1/+1 counter on Brallin and it deals 1 damage to each opponent.{R}: Target Shark gains trample until end of turn.","Partner with, Partner",3,3
Braulios of Pheres Band,Centaur Scout,5.0,G,"Braulios's power and toughness are each equal to the number of lands you control.Whenever Braulios attacks, draw a card, then you may put a land card from your hand onto the battlefield.",,0,0
"Breeches, Brazen Plunderer",Goblin Pirate,4.0,R,"MenaceWhenever one or more Pirates you control deal damage to your opponents, exile the top card of each of those opponents' libraries. You may play those cards this turn, and you may spend mana as though it were mana of any color to cast those spells.Partner (You can have two commanders if both have partner.)","Partner, Menace",3,3
"Brinelin, the Moon Kraken",Kraken,8.0,U,"When Brinelin enters and whenever you cast a spell with mana value 6 or greater, you may return target nonland permanent to its owner's hand.Partner (You can have two commanders if both have partner.)",Partner,6,8
