Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
Alaundo the Seer,Human Shaman,4.0,"G, U","{T}: Draw a card, then exile a card from your hand and put a number of time counters on it equal to its mana value. It gains ""When the last time counter is removed from this card, if it's exiled, you may cast it without paying its mana cost. If you cast a creature spell this way, it gains haste until end of turn."" Then remove a time counter from each other card you own in exile.",,3,5,Big Mana
"Alela, Artful Provocateur",Faerie Warlock,4.0,"B, U, W","Flying, deathtouch, lifelinkOther creatures you control with flying get +1/+0.Whenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying.","Deathtouch, Flying, Lifelink",2,3,Faeries
"Alela, Cunning Conqueror",Faerie Warlock,4.0,"B, U","FlyingWhenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying.Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.","Flying, Goad",2,4,Faeries
"Alesha, Who Laughs at Fate",Human Warrior,3.0,"B, R","First strikeWhenever Alesha attacks, put a +1/+1 counter on it.Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.","First strike, Raid",2,2,Warriors
"Alesha, Who Smiles at Death",Human Warrior,3.0,"B, R, W","First strikeWhenever Alesha attacks, you may pay {W/B}{W/B}. If you do, return target creature card with power 2 or less from your graveyard to the battlefield tapped and attacking.",First strike,3,2,Reanimator
"Alexios, Deimos of Kosmos",Human Berserker,4.0,R,"TrampleAlexios attacks each combat if able, can't be sacrificed, and can't attack its owner.At the beginning of each player's upkeep, that player gains control of Alexios, untaps it, and puts a +1/+1 counter on it. It gains haste until end of turn.",Trample,4,4,Equipment
"Alhammarret, High Arbiter",Sphinx,7.0,U,"FlyingAs Alhammarret enters, each opponent reveals their hand. You choose the name of a nonland card revealed this way.Your opponents can't cast spells with the chosen name (as long as this creature is on the battlefield).",Flying,5,5,Sphinxes
"Alibou, Ancient Witness",Golem,5.0,"R, W","Other artifact creatures you control have haste.Whenever one or more artifact creatures you control attack, Alibou deals X damage to any target and you scry X, where X is the number of tapped artifacts you control.",Scry,4,5,Artifacts
"Alirios, Enraptured",Human,3.0,U,"Alirios enters tapped.Alirios doesn't untap during your untap step if you control a Reflection.When Alirios enters, create a 3/2 blue Reflection creature token.",,2,3,Illusions
"Alistair, the Brigadier",Human Soldier,4.0,"G, U, W","Whenever you cast a historic spell, create a 1/1 white Soldier creature token. (Artifacts, legendaries, and Sagas are historic.)Whenever Alistair attacks, you may pay {8}. If you do, creatures you control get +X/+X until end of turn, where X is the number of historic permanents you control.",,3,3,Historic
"Alquist Proft, Master Sleuth",Human Detective,3.0,"U, W","VigilanceWhen Alquist Proft enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card.""){X}{W}{U}{U}, {T}, Sacrifice a Clue: You draw X cards and gain X life.","Investigate, Vigilance",3,3,Clues
Altair Ibn-La'Ahad,Human Assassin,3.0,"B, R, W","First strikeWhenever Altaïr attacks, exile up to one target Assassin creature card from your graveyard with a memory counter on it. Then for each creature card you own in exile with a memory counter on it, create a tapped and attacking token that's a copy of it. Exile those tokens at end of combat.",First strike,3,3,Assassins
Amalia Benavides Aguirre,Vampire Scout,2.0,"B, W","Ward—Pay 3 life.Whenever you gain life, Amalia Benavides Aguirre explores. Then destroy all other creatures if its power is exactly 20. (To have this creature explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)","Explore, Ward",2,2,Lifegain
"Amareth, the Lustrous",Dragon,6.0,"G, U, W","FlyingWhenever another permanent you control enters, look at the top card of your library. If it shares a card type with that permanent, you may reveal that card and put it into your hand.",Flying,6,6,Explore
Ambassador Blorpityblorpboop,Alien Advisor Guest,5.0,"G, U","When Ambassador Blorpityblorpboop enters, you get {TK}{TK}{TK}, then you may put a sticker on a nonland permanent you own.At the beginning of each combat, you may have Ambassador Blorpityblorpboop's base power become equal to the total power of all stickers on permanents you control and its base toughness become equal to those stickers' total toughness.",,3,3,Stickers
"Aminatou, the Fateshifter",Aminatou,3.0,"B, U, W","+1: Draw a card, then put a card from your hand on top of your library.−1: Exile another target permanent you own, then return it to the battlefield under your control.−6: Choose left or right. Each player gains control of all nonland permanents other than Aminatou controlled by the next player in the chosen direction.Aminatou, the Fateshifter can be your commander.",,0,0,Blink
"Aminatou, Veil Piercer",Human Wizard,4.0,"B, U, W","At the beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)Each enchantment card in your hand has miracle. Its miracle cost is equal to its mana cost reduced by {4}. (You may cast a card for its miracle cost when you draw it if it's the first card you drew this turn.)",Surveil,2,4,Enchantress
"Amzu, Swarm's Hunger",Insect Shaman,5.0,"B, G","Flying, menaceOther Insects you control have menace.Whenever one or more cards leave your graveyard, you may create a 1/1 black and green Insect creature token, then put a number of +1/+1 counters on it equal to the greatest mana value among those cards. Do this only once each turn.","Flying, Menace",3,3,Insects
"Anafenza, Kin-Tree Spirit",Spirit Soldier,2.0,W,"Whenever another nontoken creature you control enters, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",Bolster,2,2,Weenies
"Anafenza, the Foremost",Human Soldier,3.0,"B, G, W","Whenever Anafenza attacks, put a +1/+1 counter on another target tapped creature you control.If a nontoken creature an opponent owns would die or a creature card not on the battlefield would be put into an opponent's graveyard, exile that card instead.",,4,4,Elephants
"Anara, Wolvid Familiar",Wolf Beast,4.0,G,"During your turn, commanders you control have indestructible. (Effects that say ""destroy"" don't destroy them. A creature with indestructible can't be destroyed by damage.)Partner (You can have two commanders if both have partner.)",Partner,4,4,Wolves
Anax and Cymede,Human Soldier,3.0,"R, W","First strike, vigilanceHeroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.","Vigilance, Heroic, First strike",3,2,Sunforger
"Anax, Hardened in the Forge",Demigod,3.0,R,"Anax's power is equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.)Whenever Anax or another nontoken creature you control dies, create a 1/1 red Satyr creature token with ""This token can't block."" If the creature had power 4 or greater, create two of those tokens instead.",,0,3,Satyrs
Angus Mackenzie,Human Cleric,3.0,"G, U, W","{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn. Activate only before the combat damage step.",,2,2,Pillow Fort
"Anhelo, the Painter",Vampire Assassin,3.0,"B, R, U","DeathtouchThe first instant or sorcery spell you cast each turn has casualty 2. (As you cast that spell, you may sacrifice a creature with power 2 or greater. When you do, copy the spell and you may choose new targets for the copy.)",Deathtouch,1,3,Spellslinger
"Anikthea, Hand of Erebos",Demigod,5.0,"B, G, W","MenaceOther enchantment creatures you control have menace.Whenever Anikthea enters or attacks, exile up to one target non-Aura enchantment card from your graveyard. Create a token that's a copy of that card, except it's a 3/3 black Zombie creature in addition to its other types.",Menace,4,4,Enchantress
"Animar, Soul of Elements",Elemental,3.0,"G, R, U","Protection from white and from blackWhenever you cast a creature spell, put a +1/+1 counter on Animar.Creature spells you cast cost {1} less to cast for each +1/+1 counter on Animar.",Protection,1,1,+1/+1 Counters
"Anim Pakal, Thousandth Moon",Human Soldier,3.0,"R, W","Whenever you attack with one or more non-Gnome creatures, put a +1/+1 counter on Anim Pakal, then create X 1/1 colorless Gnome artifact creature tokens that are tapped and attacking, where X is the number of +1/+1 counters on Anim Pakal.",,1,2,Gnomes
Anje Falkenrath,Vampire,3.0,"B, R","Haste{T}, Discard a card: Draw a card.Whenever you discard a card, if it has madness, untap Anje Falkenrath.",Haste,1,3,Madness
"Anje, Maid of Dishonor",Vampire,4.0,"B, R","Whenever Anje and/or one or more other Vampires you control enter, create a Blood token. This ability triggers only once each turn. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card.""){2}, Sacrifice another creature or a Blood token: Each opponent loses 2 life and you gain 2 life.",,4,5,Vampires
"Annie Flash, the Veteran",Human Rogue,6.0,"G, R, W","FlashWhen Annie Flash enters, if you cast it, return target permanent card with mana value 3 or less from your graveyard to the battlefield tapped.Whenever Annie Flash becomes tapped, exile the top two cards of your library. You may play those cards this turn.",Flash,4,5,Convoke
"Anowon, the Ruin Sage",Vampire Shaman,5.0,B,"At the beginning of your upkeep, each player sacrifices a non-Vampire creature of their choice.",,4,3,Vampires
"Anowon, the Ruin Thief",Vampire Rogue,4.0,"B, U","Other Rogues you control get +1/+1.Whenever one or more Rogues you control deal combat damage to a player, that player mills a card for each 1 damage dealt to them. If the player mills at least one creature card this way, you draw a card. (To mill a card, a player puts the top card of their library into their graveyard.)",Mill,2,4,Rogues
Anrakyr the Traveller,Necron,5.0,B,"Lord of the Pyrrhian Legions — Whenever Anrakyr the Traveller attacks, you may cast an artifact spell from your hand or graveyard by paying life equal to its mana value rather than paying its mana cost.",Lord of the Pyrrhian Legions,4,4,Necrons
"Anthousa, Setessan Hero",Human Warrior,5.0,G,"Heroic — Whenever you cast a spell that targets Anthousa, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.",Heroic,4,5,Heroic
"Anzrag, the Quake-Mole",Mole God,4.0,"G, R","Whenever Anzrag becomes blocked, untap each creature you control. After this phase, there is an additional combat phase.{3}{R}{R}{G}{G}: Anzrag must be blocked each combat this turn if able.",,8,4,Extra Combats
"Ao, the Dawn Sky",Dragon Spirit,5.0,W,"Flying, vigilanceWhen Ao dies, choose one —• Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.• Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.","Flying, Vigilance",5,4,Cheerios
"Aphelia, Viper Whisperer",Gorgon Assassin,2.0,"B, G","DeathtouchWhenever Aphelia attacks, you may pay {1}{B/G}. If you do, create a 1/1 black Snake creature token with deathtouch.{4}{B}: Until end of turn, whenever one or more Gorgons and/or Snakes you control deal combat damage to a player, that player loses half their life, rounded up.",Deathtouch,1,3,Snakes
Apothecary White,Human Cleric,4.0,W,"VigilanceWhenever you attack, you create a Food token for each player being attacked. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life.""){W}, {T}, Tap X untapped Foods you control: Create X 1/1 white Human creature tokens.","Vigilance, Food",3,4,Food
"Arabella, Abandoned Doll",Toy,2.0,"R, W","Whenever Arabella attacks, it deals X damage to each opponent and you gain X life, where X is the number of creatures you control with power 2 or less.",,1,3,Tokens
"Aragorn, Company Leader",Human Ranger,3.0,"G, W","Whenever the Ring tempts you, if you chose a creature other than Aragorn as your Ring-bearer, put your choice of a counter from among first strike, vigilance, deathtouch, and lifelink on Aragorn.Whenever you put one or more counters on Aragorn, put one of each of those kinds of counters on up to one other target creature.","Vigilance, Deathtouch",3,3,The Ring
"Aragorn, Hornburg Hero",Human Soldier,4.0,"G, R, W","Attacking creatures you control have first strike and renown 1. (When a creature with renown 1 deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)Whenever a renowned creature you control deals combat damage to a player, double the number of +1/+1 counters on it.",,4,4,Werewolves
"Aragorn, King of Gondor",Human Noble,4.0,"R, U, W","Vigilance, lifelinkWhen Aragorn enters, you become the monarch.Whenever Aragorn attacks, up to one target creature can't block this turn. If you're the monarch, creatures can't block this turn.","Lifelink, Vigilance",4,4,Monarch
"Aragorn, the Uniter",Human Noble,4.0,"G, R, U, W","Whenever you cast a white spell, create a 1/1 white Human Soldier creature token.Whenever you cast a blue spell, scry 2.Whenever you cast a red spell, Aragorn deals 3 damage to target opponent.Whenever you cast a green spell, target creature gets +4/+4 until end of turn.",Scry,5,5,Legends
"Arahbo, Roar of the World",Cat Avatar,5.0,"G, W","Eminence — At the beginning of combat on your turn, if Arahbo is in the command zone or on the battlefield, another target Cat you control gets +3/+3 until end of turn.Whenever another Cat you control attacks, you may pay {1}{G}{W}. If you do, it gains trample and gets +X/+X until end of turn, where X is its power.",Eminence,5,5,Cats
"Arahbo, the First Fang",Cat Avatar,3.0,W,"Other Cats you control get +1/+1.Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.",,2,2,Cats
Arasta of the Endless Web,Spider,4.0,G,"ReachWhenever an opponent casts an instant or sorcery spell, create a 1/2 green Spider creature token with reach.",Reach,3,5,Spiders
Araumi of the Dead Tide,Merfolk Wizard,3.0,"B, U","{T}, Exile cards from your graveyard equal to the number of opponents you have: Target creature card in your graveyard gains encore until end of turn. The encore cost is equal to its mana cost. (Exile the creature card and pay its mana cost: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",,1,4,Mill
Arbaaz Mir,Human Assassin,2.0,"R, W","Whenever Arbaaz Mir or another nontoken historic permanent you control enters, Arbaaz Mir deals 1 damage to each opponent and you gain 1 life. (Artifacts, legendaries, and Sagas are historic.)",,2,2,Historic
"Arcades, the Strategist",Elder Dragon,4.0,"G, U, W","Flying, vigilanceWhenever a creature you control with defender enters, draw a card.Each creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.","Flying, Vigilance",3,5,Toughness Matters
Arcanis the Omnipotent,Wizard,6.0,U,{T}: Draw three cards.{2}{U}{U}: Return Arcanis to its owner's hand.,,3,4,Counterspells
"Archelos, Lagoon Mystic",Turtle Shaman,4.0,"B, G, U","As long as Archelos is tapped, other permanents enter tapped.As long as Archelos is untapped, other permanents enter untapped.",,2,4,Lands Matter
Arcum Dagsson,Human Artificer,4.0,U,"{T}: Target artifact creature's controller sacrifices it. That player may search their library for a noncreature artifact card, put it onto the battlefield, then shuffle.",,2,2,Persistent Petitioners
"Ardenn, Intrepid Archaeologist",Kor Scout,3.0,W,"At the beginning of combat on your turn, you may attach any number of Auras and Equipment you control to target permanent or player.Partner (You can have two commanders if both have partner.)",Partner,2,2,Kor
"Arixmethes, Slumbering Isle",Kraken,4.0,"G, U","Arixmethes enters tapped with five slumber counters on it.As long as Arixmethes has a slumber counter on it, it's a land. (It's not a creature.)Whenever you cast a spell, you may remove a slumber counter from Arixmethes.{T}: Add {G}{U}.",,12,12,Sea Creatures
"Arjun, the Shifting Flame",Sphinx Wizard,6.0,"R, U","FlyingWhenever you cast a spell, put the cards in your hand on the bottom of your library in any order, then draw that many cards.",Flying,5,5,Wheels
"Arna Kennerud, Skycaptain",Human Knight,5.0,"B, U, W","Flying, lifelinkWard—Discard a card.Whenever a modified creature you control attacks, double the number of each kind of counter on it. Then for each nontoken permanent attached to it, create a token that's a copy of that permanent attached to that creature.","Flying, Lifelink, Ward",4,4,Equipment
Arni Brokenbrow,Human Berserker,3.0,R,HasteBoast — {1}: You may change Arni's base power to 1 plus the greatest power among other creatures you control until end of turn. (Activate only if this creature attacked this turn and only once each turn.),"Boast, Haste",3,3,Berserkers
Arno Dorian,Human Assassin,4.0,"B, R",DeathtouchOther Assassins you control get +2/+0.Disguise {B}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.),"Disguise, Deathtouch",3,3,Assassins
"Arthur, Marigold Knight",Mouse Knight,5.0,"R, U, W","HasteWhenever Arthur and at least one other creature attack, look at the top six cards of your library. You may put a creature card from among them onto the battlefield tapped and attacking. Put the rest on the bottom of your library in a random order. Return that creature to its owner's hand at end of combat.",Haste,4,5,Knights
"Arvinox, the Mind Flail",Horror,7.0,B,"Arvinox isn't a creature unless you control three or more permanents you don't own.At the beginning of your end step, exile the bottom card of each opponent's library face down. For as long as those cards remain exiled, you may look at them, you may cast permanent spells from among them, and you may spend mana as though it were mana of any color to cast those spells.",,9,9,Horrors
"Arwen, Mortal Queen",Elf Noble,3.0,"G, W","Arwen enters with an indestructible counter on it.{1}, Remove an indestructible counter from Arwen: Another target creature gains indestructible until end of turn. Put a +1/+1 counter and a lifelink counter on that creature and a +1/+1 counter and a lifelink counter on Arwen.",,2,2,Unicorns
Arwen Undomiel,Elf Noble,2.0,"G, U","Whenever you scry, put a +1/+1 counter on target creature.{4}{G}{U}: Scry 2.",Scry,2,2,Topdeck
"Aryel, Knight of Windgrace",Human Knight,4.0,"B, W","Vigilance{2}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.{B}, {T}, Tap X untapped Knights you control: Destroy target creature with power X or less.",Vigilance,4,4,Knights
Ascendant Evincar,Phyrexian Vampire Noble,6.0,B,Flying (This creature can't be blocked except by creatures with flying or reach.)Other black creatures get +1/+1.Nonblack creatures get -1/-1.,Flying,3,3,Mercenaries
"Ashad, the Lone Cyberman",Cyberman,4.0,"B, R, U","The first nonlegendary artifact spell you cast each turn has casualty 2. (As you cast it, you may sacrifice a creature with power 2 or greater. When you do, copy it. A copy of an artifact spell becomes a token.)Whenever you sacrifice another creature, put a +1/+1 counter on Ashad.",,3,3,Cybermen
"Ashaya, Soul of the Wild",Elemental,5.0,G,Ashaya's power and toughness are each equal to the number of lands you control.Nontoken creatures you control are Forest lands in addition to their other types. (They're still affected by summoning sickness.),,0,0,Landfall
Ashcoat of the Shadow Swarm,Rat Warlock,4.0,B,"Whenever Ashcoat attacks or blocks, other Rats you control get +X/+X until end of turn, where X is the number of Rats you control.At the beginning of your end step, you may mill four cards. If you do, return up to two Rat creature cards from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)",Mill,3,4,Rat Colony
"Ashling, Flame Dancer",Elemental Shaman,4.0,R,"You don't lose unspent red mana as steps and phases end.Magecraft — Whenever you cast or copy an instant or sorcery spell, discard a card, then draw a card. If this is the second time this ability has resolved this turn, Ashling deals 2 damage to each opponent and each creature they control. If it's the third time, add {R}{R}{R}{R}.",Magecraft,4,4,Spell Copy
Ashling the Pilgrim,Elemental Shaman,2.0,R,"{1}{R}: Put a +1/+1 counter on Ashling. If this is the third time this ability has resolved this turn, remove all +1/+1 counters from Ashling, and it deals that much damage to each creature and each player.",,1,1,Elementals
"Ashnod, Flesh Mechanist",Human Artificer,1.0,B,"DeathtouchWhenever Ashnod attacks, you may sacrifice another creature. If you do, create a tapped Powerstone token.{5}, Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token.",Deathtouch,1,1,Necrons
Ashnod the Uncaring,Human Artificer,5.0,"B, R, U","DeathtouchWhenever you activate an ability of an artifact or creature that isn't a mana ability, if one or more permanents were sacrificed to activate it, you may copy that ability. You may choose new targets for the copy. (Sacrificing an artifact for mana to activate an ability doesn't count.)",Deathtouch,1,4,Sacrifice
Asmoranomardicadaistinaculdacar,Human Wizard,0.0,"B, R","As long as you've discarded a card this turn, you may pay {B/R} to cast this spell.When Asmoranomardicadaistinaculdacar enters, you may search your library for a card named The Underworld Cookbook, reveal it, put it into your hand, then shuffle.Sacrifice two Foods: Target creature deals 6 damage to itself.",,3,3,Discard
"Astarion, the Decadent",Vampire Elf Rogue,6.0,"B, W","Deathtouch, lifelinkAt the beginning of your end step, choose one —• Feed — Target opponent loses life equal to the amount of life they lost this turn.• Friends — You gain life equal to the amount of life you gained this turn.","Lifelink, Feed, Friends, Deathtouch",4,4,Lifegain
"Astor, Bearer of Blades",Human Warrior,4.0,"R, W","When Astor enters, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.Equipment you control have equip {1}.Vehicles you control have crew 1.",,4,4,Vehicles
"Atalya, Samite Master",Human Cleric,5.0,W,"{X}, {T}: Choose one —• Prevent the next X damage that would be dealt to target creature this turn. Spend only white mana on X.• You gain X life. Spend only white mana on X.",,2,3,Clerics
"Atarka, World Render",Dragon,7.0,"G, R","Flying, trampleWhenever a Dragon you control attacks, it gains double strike until end of turn.","Flying, Trample",6,4,Dragons
"Atemsis, All-Seeing",Sphinx,6.0,U,"Flying{2}{U}, {T}: Draw two cards, then discard a card.Whenever Atemsis deals damage to an opponent, you may reveal your hand. If cards with at least six different mana values are revealed this way, that player loses the game.",Flying,4,5,Sphinxes
"Athreos, God of Passage",God,3.0,"B, W","IndestructibleAs long as your devotion to white and black is less than seven, Athreos isn't a creature.Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life.",Indestructible,5,4,Shadowborn Apostles
"Atla Palani, Nest Tender",Human Shaman,4.0,"G, R, W","{2}, {T}: Create a 0/1 green Egg creature token with defender.Whenever an Egg you control dies, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",,2,3,Dinosaurs
